Cluster number,Household number,Line number,Cluster number,Household number,Man's line number,Interviewer number,Supervisor number,Interviewer number,Day of interview
9.0,15.0,1.0,9.0,15.0,1.0,22.0,20.0,22.0,21.0
9.0,19.0,4.0,9.0,19.0,4.0,22.0,20.0,22.0,22.0
9.0,19.0,5.0,9.0,19.0,5.0,22.0,20.0,22.0,24.0
9.0,19.0,6.0,9.0,19.0,6.0,22.0,20.0,22.0,22.0
9.0,25.0,1.0,9.0,25.0,1.0,22.0,20.0,22.0,24.0
9.0,25.0,4.0,9.0,25.0,4.0,22.0,20.0,22.0,24.0
10.0,1.0,1.0,10.0,1.0,1.0,13.0,10.0,13.0,16.0
10.0,3.0,1.0,10.0,3.0,1.0,12.0,10.0,12.0,21.0
10.0,5.0,1.0,10.0,5.0,1.0,13.0,10.0,13.0,17.0
10.0,7.0,1.0,10.0,7.0,1.0,12.0,10.0,12.0,3.0
10.0,9.0,1.0,10.0,9.0,1.0,12.0,10.0,12.0,16.0
10.0,11.0,1.0,10.0,11.0,1.0,12.0,10.0,12.0,17.0
10.0,13.0,1.0,10.0,13.0,1.0,13.0,10.0,13.0,12.0
10.0,17.0,1.0,10.0,17.0,1.0,13.0,10.0,13.0,27.0
10.0,21.0,1.0,10.0,21.0,1.0,13.0,10.0,13.0,12.0
10.0,23.0,1.0,10.0,23.0,1.0,13.0,10.0,13.0,12.0
10.0,25.0,5.0,10.0,25.0,5.0,13.0,10.0,13.0,12.0
11.0,2.0,1.0,11.0,2.0,1.0,12.0,10.0,12.0,21.0
11.0,4.0,1.0,11.0,4.0,1.0,12.0,10.0,12.0,17.0
11.0,4.0,3.0,11.0,4.0,3.0,12.0,10.0,12.0,15.0
11.0,6.0,4.0,11.0,6.0,4.0,12.0,10.0,12.0,15.0
11.0,6.0,5.0,11.0,6.0,5.0,12.0,10.0,12.0,15.0
11.0,8.0,2.0,11.0,8.0,2.0,12.0,10.0,12.0,17.0
11.0,8.0,3.0,11.0,8.0,3.0,12.0,10.0,12.0,15.0
11.0,12.0,1.0,11.0,12.0,1.0,12.0,10.0,12.0,28.0
11.0,18.0,1.0,11.0,18.0,1.0,13.0,10.0,13.0,16.0
11.0,20.0,3.0,11.0,20.0,3.0,13.0,10.0,13.0,16.0
11.0,20.0,4.0,11.0,20.0,4.0,13.0,10.0,13.0,16.0
11.0,20.0,5.0,11.0,20.0,5.0,13.0,10.0,13.0,16.0
11.0,20.0,6.0,11.0,20.0,6.0,13.0,10.0,13.0,16.0
11.0,20.0,7.0,11.0,20.0,7.0,13.0,10.0,13.0,16.0
11.0,22.0,1.0,11.0,22.0,1.0,13.0,10.0,13.0,15.0
11.0,22.0,6.0,11.0,22.0,6.0,13.0,10.0,13.0,15.0
11.0,24.0,2.0,11.0,24.0,2.0,13.0,10.0,13.0,15.0
11.0,26.0,1.0,11.0,26.0,1.0,13.0,10.0,13.0,15.0
12.0,2.0,1.0,12.0,2.0,1.0,13.0,10.0,13.0,18.0
12.0,6.0,1.0,12.0,6.0,1.0,13.0,10.0,13.0,3.0
12.0,14.0,2.0,12.0,14.0,2.0,12.0,10.0,12.0,18.0
12.0,20.0,2.0,12.0,20.0,2.0,12.0,10.0,12.0,18.0
12.0,22.0,1.0,12.0,22.0,1.0,12.0,10.0,12.0,18.0
12.0,24.0,1.0,12.0,24.0,1.0,12.0,10.0,12.0,17.0
12.0,24.0,4.0,12.0,24.0,4.0,12.0,10.0,12.0,17.0
12.0,26.0,2.0,12.0,26.0,2.0,13.0,10.0,13.0,19.0
13.0,4.0,1.0,13.0,4.0,1.0,12.0,10.0,12.0,24.0
13.0,6.0,1.0,13.0,6.0,1.0,12.0,10.0,12.0,18.0
13.0,8.0,1.0,13.0,8.0,1.0,12.0,10.0,12.0,18.0
13.0,12.0,1.0,13.0,12.0,1.0,12.0,10.0,12.0,21.0
13.0,16.0,1.0,13.0,16.0,1.0,13.0,10.0,13.0,18.0
13.0,18.0,1.0,13.0,18.0,1.0,13.0,10.0,13.0,18.0
13.0,24.0,1.0,13.0,24.0,1.0,13.0,10.0,13.0,3.0
13.0,26.0,1.0,13.0,26.0,1.0,13.0,10.0,13.0,18.0
14.0,1.0,1.0,14.0,1.0,1.0,12.0,10.0,12.0,1.0
14.0,3.0,2.0,14.0,3.0,2.0,12.0,10.0,12.0,1.0
14.0,3.0,3.0,14.0,3.0,3.0,12.0,10.0,12.0,1.0
14.0,5.0,1.0,14.0,5.0,1.0,12.0,10.0,12.0,2.0
14.0,7.0,3.0,14.0,7.0,3.0,12.0,10.0,12.0,2.0
14.0,7.0,4.0,14.0,7.0,4.0,12.0,10.0,12.0,2.0
14.0,9.0,1.0,14.0,9.0,1.0,12.0,10.0,12.0,29.0
14.0,15.0,2.0,14.0,15.0,2.0,13.0,10.0,13.0,3.0
14.0,15.0,3.0,14.0,15.0,3.0,13.0,10.0,13.0,1.0
14.0,17.0,2.0,14.0,17.0,2.0,13.0,10.0,13.0,1.0
14.0,23.0,1.0,14.0,23.0,1.0,13.0,10.0,13.0,1.0
14.0,23.0,2.0,14.0,23.0,2.0,13.0,10.0,13.0,1.0
14.0,23.0,3.0,14.0,23.0,3.0,13.0,10.0,13.0,1.0
14.0,25.0,1.0,14.0,25.0,1.0,13.0,10.0,13.0,25.0
15.0,1.0,1.0,15.0,1.0,1.0,13.0,10.0,13.0,6.0
15.0,7.0,1.0,15.0,7.0,1.0,13.0,10.0,13.0,3.0
15.0,9.0,1.0,15.0,9.0,1.0,13.0,10.0,13.0,5.0
15.0,13.0,1.0,15.0,13.0,1.0,13.0,10.0,13.0,2.0
15.0,15.0,1.0,15.0,15.0,1.0,12.0,10.0,12.0,13.0
15.0,17.0,1.0,15.0,17.0,1.0,12.0,10.0,12.0,25.0
15.0,19.0,1.0,15.0,19.0,1.0,12.0,10.0,12.0,3.0
15.0,21.0,2.0,15.0,21.0,2.0,12.0,10.0,12.0,26.0
15.0,23.0,3.0,15.0,23.0,3.0,12.0,10.0,12.0,26.0
15.0,25.0,1.0,15.0,25.0,1.0,12.0,10.0,12.0,1.0
16.0,3.0,1.0,16.0,3.0,1.0,12.0,10.0,12.0,5.0
16.0,5.0,1.0,16.0,5.0,1.0,12.0,10.0,12.0,4.0
16.0,7.0,2.0,16.0,7.0,2.0,12.0,10.0,12.0,4.0
16.0,9.0,1.0,16.0,9.0,1.0,12.0,10.0,12.0,1.0
16.0,11.0,4.0,16.0,11.0,4.0,12.0,10.0,12.0,1.0
16.0,13.0,3.0,16.0,13.0,3.0,12.0,10.0,12.0,5.0
16.0,13.0,4.0,16.0,13.0,4.0,12.0,10.0,12.0,5.0
16.0,13.0,5.0,16.0,13.0,5.0,12.0,10.0,12.0,5.0
16.0,17.0,1.0,16.0,17.0,1.0,13.0,10.0,13.0,4.0
16.0,23.0,2.0,16.0,23.0,2.0,13.0,10.0,13.0,4.0
16.0,23.0,5.0,16.0,23.0,5.0,13.0,10.0,13.0,4.0
17.0,5.0,2.0,17.0,5.0,2.0,13.0,10.0,13.0,24.0
17.0,7.0,1.0,17.0,7.0,1.0,13.0,10.0,13.0,24.0
17.0,11.0,1.0,17.0,11.0,1.0,13.0,10.0,13.0,24.0
17.0,17.0,1.0,17.0,17.0,1.0,12.0,10.0,12.0,6.0
17.0,19.0,2.0,17.0,19.0,2.0,12.0,10.0,12.0,28.0
17.0,19.0,3.0,17.0,19.0,3.0,12.0,10.0,12.0,22.0
17.0,19.0,5.0,17.0,19.0,5.0,12.0,10.0,12.0,23.0
18.0,4.0,2.0,18.0,4.0,2.0,12.0,10.0,12.0,22.0
18.0,4.0,4.0,18.0,4.0,4.0,12.0,10.0,12.0,22.0
18.0,6.0,1.0,18.0,6.0,1.0,12.0,10.0,12.0,24.0
18.0,8.0,1.0,18.0,8.0,1.0,12.0,10.0,12.0,24.0
18.0,16.0,1.0,18.0,16.0,1.0,13.0,10.0,13.0,21.0
18.0,16.0,5.0,18.0,16.0,5.0,12.0,10.0,12.0,23.0
18.0,24.0,1.0,18.0,24.0,1.0,13.0,10.0,13.0,21.0
18.0,26.0,3.0,18.0,26.0,3.0,13.0,10.0,13.0,21.0
19.0,2.0,1.0,19.0,2.0,1.0,13.0,10.0,13.0,19.0
19.0,6.0,1.0,19.0,6.0,1.0,13.0,10.0,13.0,21.0
19.0,8.0,1.0,19.0,8.0,1.0,13.0,10.0,13.0,2.0
19.0,10.0,1.0,19.0,10.0,1.0,13.0,10.0,13.0,21.0
19.0,12.0,1.0,19.0,12.0,1.0,13.0,10.0,13.0,24.0
19.0,16.0,2.0,19.0,16.0,2.0,12.0,10.0,12.0,21.0
19.0,18.0,1.0,19.0,18.0,1.0,12.0,10.0,12.0,3.0
19.0,18.0,3.0,19.0,18.0,3.0,12.0,10.0,12.0,19.0
